,Model,RMSE,NRMSE,MAPE,Weeks ahead,Location
815,Flusight-ensemble,43.14810984348792,21.57405492174396,93.7674624142544,4,WY
816,GT-FluFNP,21.067830453086525,0.4213566090617305,55.35397619047618,1,AK
817,GT-FluFNP,107.54205735432069,0.8025526668232885,28.66798787694077,1,AL
818,GT-FluFNP,116.38536849621606,0.32062084985183487,50.988565164062486,1,AR
819,GT-FluFNP,167.78084503303705,0.29027827860387034,113.67607000322253,1,AZ
820,GT-FluFNP,832.6669524245574,0.3227391288467277,90.28450530510645,1,CA
821,GT-FluFNP,27.911943321811187,0.2232955465744895,75.1077180296727,1,CO
822,GT-FluFNP,51.76741349536405,0.3195519351565682,58.96978561630466,1,CT
823,GT-FluFNP,20.353229719137943,0.3449699952396262,67.42607792207792,1,DC
824,GT-FluFNP,18.403517326859014,0.3755819862624289,88.90887292738708,1,DE
825,GT-FluFNP,171.2480733322276,0.31537398403725153,41.513451218486594,1,FL
826,GT-FluFNP,52.55494781654721,0.7007326375539628,23.648184301284438,1,GA
827,GT-FluFNP,48.66255541995302,0.39563053186953684,43.661973510436496,1,IA
828,GT-FluFNP,24.766573238944463,0.4197724277787197,210.44880952380956,1,ID
829,GT-FluFNP,268.44911905238206,0.33556139881547753,66.86767936210683,1,IL
830,GT-FluFNP,145.2467426829256,0.36041375355564664,43.0707121648982,1,IN
831,GT-FluFNP,57.47918945148757,0.34626017741859993,61.02947146565687,1,KS
832,GT-FluFNP,172.52136366259109,0.32126883363611003,73.12314864679446,1,KY
833,GT-FluFNP,57.80270841405271,0.791817923480174,23.156495973729974,1,LA
834,GT-FluFNP,60.67775325438477,0.29312924277480557,99.22697936342479,1,MA
835,GT-FluFNP,83.18434215644191,0.3730239558584839,47.34412710020351,1,MD
836,GT-FluFNP,9.436419871964155,0.30440064103110176,95.96764960529666,1,ME
837,GT-FluFNP,76.38425426748631,0.28608334931642815,76.63798220046502,1,MI
838,GT-FluFNP,98.18447983260897,0.2896297340194955,87.47369377407949,1,MN
839,GT-FluFNP,181.11695370671404,0.3681238896477929,66.49067528243802,1,MO
