,Model,Weeks ahead,Location,LS,CRPS,CS
91,CMU-TimeSeries,2,SD,-6.1484558621837095,13.15009084128422,0.42900000000000005
92,CMU-TimeSeries,2,TN,-5.694605537449583,97.38041096037087,0.2060000000000001
93,CMU-TimeSeries,2,TX,-5.69895199729634,288.9040904318274,0.19073332538604745
94,CMU-TimeSeries,2,US,-3.5590020563990583,2078.9832294008193,0.10070000000000011
95,CMU-TimeSeries,2,UT,-2.542025550031277,3.8258190196967448,0.10249999999999997
96,CMU-TimeSeries,2,VA,-7.714591432296872,133.3022038485275,0.30399999433755887
97,CMU-TimeSeries,2,VT,-3.8961391795320486,3.5618168778925305,0.10660000000000011
98,CMU-TimeSeries,2,WA,-6.575524642146805,130.92316622278307,0.4115000000000001
99,CMU-TimeSeries,2,WI,-5.023527887760073,53.31493651334865,0.4165000000000001
100,CMU-TimeSeries,2,WV,-5.447810827109027,29.241428950517175,0.14240000000000008
101,CMU-TimeSeries,2,WY,-8.216767404284665,15.692997835453212,0.49400000000000005
102,CMU-TimeSeries,3,AK,-8.288879025878405,15.87489823974397,0.48066666626930243
103,CMU-TimeSeries,3,AL,-5.588887944062964,255.33694822683006,0.4126666653752328
104,CMU-TimeSeries,3,AR,-6.378891411737539,93.7006638417645,0.36733332955837256
105,CMU-TimeSeries,3,AZ,-10.0,205.12207778116135,0.49400000000000005
106,CMU-TimeSeries,3,CA,-10.0,1063.091257418279,0.49400000000000005
107,CMU-TimeSeries,3,CO,-5.965666804578885,45.958644242130426,0.4673333325386048
108,CMU-TimeSeries,3,CT,-6.691473535014084,40.38364008813344,0.25046666269302376
109,CMU-TimeSeries,3,DC,-6.585016477334857,17.796148686206767,0.1769999922513963
110,CMU-TimeSeries,3,DE,-10.0,19.53501795749416,0.3239999949336053
111,CMU-TimeSeries,3,FL,-3.5396528003527745,121.807684892458,0.1313333289623261
112,CMU-TimeSeries,3,GA,-8.484303706974512,86.18590522059395,0.28820000000000007
113,CMU-TimeSeries,3,IA,-5.340000285381865,32.41971822190353,0.11113333075046544
114,CMU-TimeSeries,3,ID,-10.0,53.43532213986174,0.49400000000000005
115,CMU-TimeSeries,3,IL,-7.744553206706892,253.44768893121636,0.49066666656732566
116,CMU-TimeSeries,3,IN,-2.1947670477156347,56.395016972085365,0.17893333015441898
117,CMU-TimeSeries,3,KS,-7.47833641273446,50.358198259670736,0.45399999880790715
118,CMU-TimeSeries,3,KY,-7.398043049143517,147.97993698057533,0.4139999976158143
119,CMU-TimeSeries,3,LA,-4.3411302364580555,100.23468812517736,0.24799999642372136
120,CMU-TimeSeries,3,MA,-4.160133063272233,47.958293467289614,0.4673333325386048
121,CMU-TimeSeries,3,MD,-6.946677901809139,85.30937910959653,0.135066660308838
122,CMU-TimeSeries,3,ME,-10.0,13.47151405782362,0.49066666656732566
123,CMU-TimeSeries,3,MI,-5.705078481405242,84.14173658482396,0.4706666659712792
124,CMU-TimeSeries,3,MN,-10.0,170.89479384888295,0.49066666656732566
125,CMU-TimeSeries,3,MO,-9.285898481774636,168.07726763165627,0.49400000000000005
126,CMU-TimeSeries,3,MS,-5.429660765112019,94.0969649152848,0.2212666591167451
127,CMU-TimeSeries,3,MT,-8.156093505124845,13.746479386521903,0.4439999985098839
128,CMU-TimeSeries,3,NC,-7.778505139524786,202.99143501253874,0.30399999433755887
129,CMU-TimeSeries,3,ND,-10.0,10.735066689225905,0.49400000000000005
130,CMU-TimeSeries,3,NE,-2.3295946641584657,5.246963571829563,0.22940001162290563
131,CMU-TimeSeries,3,NH,-7.0402458934129655,3.5537648376210154,0.24073332866430291
132,CMU-TimeSeries,3,NJ,-7.0232304133033345,135.94241325491944,0.2366666617989541
133,CMU-TimeSeries,3,NM,-7.204227125223263,51.26241180541811,0.20739999433755885
134,CMU-TimeSeries,3,NV,-8.815066046883024,82.97311865290582,0.49400000000000005
135,CMU-TimeSeries,3,NY,-6.592569399876575,228.1795020452029,0.45399999880790715
136,CMU-TimeSeries,3,OH,-6.383655600210886,114.16255287429117,0.27733332687616363
137,CMU-TimeSeries,3,OK,-6.131416159497644,120.26873270015624,0.40733333075046546
138,CMU-TimeSeries,3,OR,-10.0,142.036257906233,0.49400000000000005
139,CMU-TimeSeries,3,PA,-4.619029138948807,152.78510758271773,0.2973333274722101
140,CMU-TimeSeries,3,RI,-2.5249666223257035,2.712030275379712,0.20019999433755886
141,CMU-TimeSeries,3,SC,-6.309273526412151,201.14605656965895,0.41086666448116305
142,CMU-TimeSeries,3,SD,-5.99789138424488,18.770636977445914,0.3106666612029077
143,CMU-TimeSeries,3,TN,-4.962163632707239,107.2458839897348,0.1156666609048844
144,CMU-TimeSeries,3,TX,-3.285279985405476,263.69118166840855,0.14913333134651185
145,CMU-TimeSeries,3,US,-4.218362359331924,2813.531011715393,0.17546666150093082
146,CMU-TimeSeries,3,UT,-3.5592462989289895,9.268049637017903,0.2408666594147683
147,CMU-TimeSeries,3,VA,-5.919926704289658,139.6773348382993,0.20733332479000105
148,CMU-TimeSeries,3,VT,-7.19240542457421,5.0296251595427455,0.4706666659712792
149,CMU-TimeSeries,3,WA,-10.0,204.7382595569757,0.49400000000000005
150,CMU-TimeSeries,3,WI,-9.328125240773263,84.66922865810677,0.49400000000000005
151,CMU-TimeSeries,3,WV,-6.694882172754968,48.65914216514852,0.1873333241939546
152,CMU-TimeSeries,3,WY,-8.383499204497179,22.57925560210408,0.49400000000000005
153,CMU-TimeSeries,4,AK,-10.0,32.84750942066701,0.49400000000000005
154,CMU-TimeSeries,4,AL,-4.974058214710064,83.86247538443106,0.19099999999999995
155,CMU-TimeSeries,4,AR,-6.2437205247729235,174.6610998843957,0.49400000000000005
156,CMU-TimeSeries,4,AZ,-10.0,376.931999859799,0.49400000000000005
157,CMU-TimeSeries,4,CA,-10.0,1735.5042362337654,0.49400000000000005
158,CMU-TimeSeries,4,CO,-10.0,85.75003186127529,0.48900000000000005
159,CMU-TimeSeries,4,CT,-8.882422032932178,76.25838115570943,0.3940000000000001
160,CMU-TimeSeries,4,DC,-10.0,33.87199318603313,0.49400000000000005
161,CMU-TimeSeries,4,DE,-10.0,41.505887114069864,0.49400000000000005
162,CMU-TimeSeries,4,FL,-3.8490611213149757,186.7849964112005,0.2446000000000001
163,CMU-TimeSeries,4,GA,-8.57917688261067,54.181298670567855,0.32459999999999994
164,CMU-TimeSeries,4,IA,-5.787166966113648,50.70121934771902,0.4790000000000001
165,CMU-TimeSeries,4,ID,-10.0,101.47623994791854,0.49400000000000005
166,CMU-TimeSeries,4,IL,-10.0,500.7961813939995,0.49400000000000005
167,CMU-TimeSeries,4,IN,-4.994888474364521,171.07509131105914,0.4792
168,CMU-TimeSeries,4,KS,-10.0,87.7644290453101,0.49400000000000005
169,CMU-TimeSeries,4,KY,-10.0,353.0164421029709,0.49400000000000005
170,CMU-TimeSeries,4,LA,-3.978324931669955,47.8382991219523,0.24459999999999996
171,CMU-TimeSeries,4,MA,-10.0,111.1808406989536,0.49400000000000005
172,CMU-TimeSeries,4,MD,-8.086596007523012,105.32513530737566,0.36400000000000005
173,CMU-TimeSeries,4,ME,-10.0,19.817263526440243,0.49400000000000005
174,CMU-TimeSeries,4,MI,-10.0,168.8086405974804,0.49400000000000005
175,CMU-TimeSeries,4,MN,-10.0,270.7064377599829,0.49400000000000005
176,CMU-TimeSeries,4,MO,-10.0,305.651342631491,0.49400000000000005
177,CMU-TimeSeries,4,MS,-4.698072392765627,48.92252800164687,0.16019999999999995
178,CMU-TimeSeries,4,MT,-10.0,25.719763330476002,0.49400000000000005
179,CMU-TimeSeries,4,NC,-9.052644567991987,148.01641395394898,0.2146000000000001
180,CMU-TimeSeries,4,ND,-10.0,15.965092703801101,0.49400000000000005
181,CMU-TimeSeries,4,NE,-4.515854623054593,17.673350550035366,0.4282000000000001
182,CMU-TimeSeries,4,NH,-8.763552859329911,6.0794438392453936,0.49400000000000005
183,CMU-TimeSeries,4,NJ,-10.0,309.4432551936005,0.49400000000000005
184,CMU-TimeSeries,4,NM,-7.579113783508917,73.31955483970378,0.3990000000000001
185,CMU-TimeSeries,4,NV,-10.0,154.38191693739242,0.49400000000000005
186,CMU-TimeSeries,4,NY,-10.0,480.06427256040513,0.49400000000000005
187,CMU-TimeSeries,4,OH,-10.0,306.76106047899174,0.49400000000000005
188,CMU-TimeSeries,4,OK,-10.0,191.43624738658104,0.49400000000000005
189,CMU-TimeSeries,4,OR,-10.0,246.36688056176882,0.49400000000000005
190,CMU-TimeSeries,4,PA,-7.051467060444409,301.0009182970697,0.4740000000000001
191,CMU-TimeSeries,4,RI,-7.354521966967642,6.321338271904645,0.18600000000000008
192,CMU-TimeSeries,4,SC,-5.645726569538457,67.64153809713895,0.147
193,CMU-TimeSeries,4,SD,-4.728767233649186,17.800874073593743,0.19960000000000008
194,CMU-TimeSeries,4,TN,-4.355738483722053,140.3486699123887,0.38420000000000004
195,CMU-TimeSeries,4,TX,-3.4238073665608066,246.0444951862305,0.19459999999999988
196,CMU-TimeSeries,4,US,-6.0496020073751575,7133.724420354663,0.4690000000000001
197,CMU-TimeSeries,4,UT,-2.754750125404154,3.9956351583459893,0.13979999999999998
198,CMU-TimeSeries,4,VA,-3.7530811380098337,78.64624010782639,0.17840000000000011
199,CMU-TimeSeries,4,VT,-7.409820750074093,7.006915044331414,0.2260000000000001
200,CMU-TimeSeries,4,WA,-10.0,343.9861133712268,0.49400000000000005
201,CMU-TimeSeries,4,WI,-10.0,154.27704968407795,0.49400000000000005
202,CMU-TimeSeries,4,WV,-9.541568238515243,96.7902608539566,0.4790000000000001
203,CMU-TimeSeries,4,WY,-10.0,37.69831306833396,0.49400000000000005
204,CU-ensemble,1,AK,-4.962633525459893,12.720020660592096,0.44399999865889556
205,CU-ensemble,1,AL,-7.488768603242335,72.00336392467159,0.45799999946355824
206,CU-ensemble,1,AR,-4.089464033290617,65.66008043399425,0.3719999981820584
207,CU-ensemble,1,AZ,-5.7424477974665225,77.06597491141154,0.1779999902248384
208,CU-ensemble,1,CA,-8.775575859718312,356.7210469319367,0.4859999998807908
209,CU-ensemble,1,CO,-3.02101397657655,24.664899082660828,0.21999999529123315
210,CU-ensemble,1,CT,-5.197334136686317,33.36323089161946,0.4279999987185002
211,CU-ensemble,1,DC,-8.71228829638805,18.63303263788465,0.38199999833107
212,CU-ensemble,1,DE,-3.8331299386886997,9.077781784579368,0.1515999960362912
213,CU-ensemble,1,FL,-5.39851174007552,122.55829669479776,0.39799999842047695
214,CU-ensemble,1,GA,-4.961103860575672,38.97743879473158,0.42999999904632574
215,CU-ensemble,1,IA,-4.215836296465412,27.377665379650715,0.33799999618530285
216,CU-ensemble,1,ID,-6.414979933491898,24.66953552101658,0.26399999657273304
217,CU-ensemble,1,IL,-8.893298669985874,145.34951375139093,0.49400000000000005
218,CU-ensemble,1,IN,-6.447653070781871,88.41267161033406,0.43799999886751184
219,CU-ensemble,1,KS,-4.52926578234852,27.29750524043009,0.419999997407198
220,CU-ensemble,1,KY,-10.0,112.75780255376324,0.49400000000000005
221,CU-ensemble,1,LA,-7.8817043219352545,42.45055724215908,0.34999999785423286
222,CU-ensemble,1,MA,-3.7466841144346597,31.736611383444092,0.16019999961256987
223,CU-ensemble,1,MD,-10.0,82.94978368655848,0.49400000000000005
224,CU-ensemble,1,ME,-2.8787147234516017,5.5770582487098945,0.13919999666213995
225,CU-ensemble,1,MI,-4.284974665605086,49.21213034503363,0.38599999839067467
226,CU-ensemble,1,MN,-6.239177335536818,45.11477598210652,0.3739999982118607
227,CU-ensemble,1,MO,-5.330056605134141,91.34221338534397,0.43199999773502357
228,CU-ensemble,1,MS,-6.362311275299644,38.31182555874338,0.38199999788403516
229,CU-ensemble,1,MT,-3.7563116394683504,8.484746664223051,0.1959999916851522
230,CU-ensemble,1,NC,-10.0,100.2185051077805,0.4699999996423722
231,CU-ensemble,1,ND,-4.217252849269995,5.907050968636595,0.1279999925196172
232,CU-ensemble,1,NE,-2.968362147109891,10.36847259515246,0.1861999949932099
233,CU-ensemble,1,NH,-2.4837355246253345,2.0617292138848575,0.07960000396370885
234,CU-ensemble,1,NJ,-7.483409176999393,100.25573410674156,0.49400000000000005
235,CU-ensemble,1,NM,-5.3895869849233,28.738368706511473,0.43999999904632575
236,CU-ensemble,1,NV,-2.465205208448256,25.329374399973933,0.2511999954700471
237,CU-ensemble,1,NY,-10.0,173.98670467334188,0.49400000000000005
238,CU-ensemble,1,OH,-4.865246089659294,84.34456256288526,0.387999998420477
239,CU-ensemble,1,OK,-5.5982108186237785,66.80485705992814,0.2519999962449075
240,CU-ensemble,1,OR,-7.559287566929545,69.64069772078054,0.35999999800324445
241,CU-ensemble,1,PA,-5.373414559003082,97.85829112997462,0.35799999797344223
242,CU-ensemble,1,RI,-4.902328475217968,4.752335428542701,0.3439999971687795
243,CU-ensemble,1,SC,-6.054502677686687,40.419998830524904,0.4619999993741513
244,CU-ensemble,1,SD,-3.111631275502498,8.776295818637276,0.1701999926984311
245,CU-ensemble,1,TN,-5.921312121537596,66.79935504336436,0.32399999746680275
246,CU-ensemble,1,TX,-3.4918218304782895,169.66196102133821,0.22619999567866336
247,CU-ensemble,1,US,-7.125329502854695,2184.4372947942315,0.49400000000000005
248,CU-ensemble,1,UT,-3.8651955107742895,6.266915467218262,0.22219999421834957
249,CU-ensemble,1,VA,-8.62507125899674,73.41591066683891,0.32559999788403526
250,CU-ensemble,1,VT,-3.694462105903484,2.9210130256009834,0.1290000041425228
251,CU-ensemble,1,WA,-6.301976174358374,85.16004433302648,0.3499999978542329
252,CU-ensemble,1,WI,-4.7837601617514185,34.19359896069112,0.3839999979138375
253,CU-ensemble,1,WV,-10.0,46.737327494856295,0.4919999999701977
254,CU-ensemble,1,WY,-4.7084103959410815,10.864921178932576,0.3259999970495702
255,CU-ensemble,2,AK,-5.228745777926268,15.280907623737757,0.3440000000000001
256,CU-ensemble,2,AL,-9.009509923277827,120.71392711520909,0.4690000000000001
257,CU-ensemble,2,AR,-5.447089443350364,72.1550037427062,0.29400000000000015
258,CU-ensemble,2,AZ,-6.647115636720376,165.27216609443866,0.4040000000000001
259,CU-ensemble,2,CA,-10.0,768.64403893413,0.49400000000000005
260,CU-ensemble,2,CO,-3.7055918737674247,36.672151560552905,0.2515000000000001
261,CU-ensemble,2,CT,-4.180318226103248,41.491874583503694,0.26100000000000007
262,CU-ensemble,2,DC,-9.513741962645526,22.12810675948222,0.48400000000000004
263,CU-ensemble,2,DE,-6.623607842413644,18.936239988550398,0.4065000000000001
264,CU-ensemble,2,FL,-2.5033712913947404,68.96573936461877,0.27710000000000007
265,CU-ensemble,2,GA,-4.361100503876356,41.939405697701275,0.39460000000000006
266,CU-ensemble,2,IA,-5.317082652641109,37.006642222707484,0.28400000000000014
267,CU-ensemble,2,ID,-8.61468034364993,44.82762172168107,0.49400000000000005
268,CU-ensemble,2,IL,-10.0,248.14764205332705,0.49400000000000005
269,CU-ensemble,2,IN,-5.280001699792587,112.96070583706285,0.34150000000000014
270,CU-ensemble,2,KS,-6.3910223181991554,44.53884415567725,0.4665000000000001
271,CU-ensemble,2,KY,-10.0,219.61690594764815,0.49400000000000005
272,CU-ensemble,2,LA,-6.669237132427788,63.361441081059716,0.38150000000000006
273,CU-ensemble,2,MA,-4.254518163976858,48.40928715207326,0.30150000000000016
274,CU-ensemble,2,MD,-10.0,127.5912214147715,0.49400000000000005
275,CU-ensemble,2,ME,-3.0307834660281845,7.365376725071467,0.2473000000000001
276,CU-ensemble,2,MI,-8.076723168456638,102.43099398347437,0.43650000000000005
277,CU-ensemble,2,MN,-10.0,103.05619499511688,0.37650000000000006
278,CU-ensemble,2,MO,-5.53038584129407,125.66691130930403,0.42650000000000005
279,CU-ensemble,2,MS,-6.939768698902723,55.37978659802248,0.37400000000000005
280,CU-ensemble,2,MT,-3.577781802367846,11.776887333187506,0.2540000000000001
281,CU-ensemble,2,NC,-10.0,152.86248405093045,0.49400000000000005
282,CU-ensemble,2,ND,-3.178297485138096,6.51644862447643,0.17750000000000007
283,CU-ensemble,2,NE,-3.4004281989360736,14.129350126786324,0.2017000000000001
284,CU-ensemble,2,NH,-2.930266759041443,1.9656799548447585,0.18969999999999992
285,CU-ensemble,2,NJ,-7.61343142555909,97.02413464123877,0.3165000000000001
286,CU-ensemble,2,NM,-6.545963361578348,41.83289418127847,0.29900000000000015
287,CU-ensemble,2,NV,-6.533440850686695,78.67785843780726,0.3990000000000001
288,CU-ensemble,2,NY,-10.0,297.2095000745068,0.49400000000000005
289,CU-ensemble,2,OH,-7.66586071047888,134.40904516496016,0.28070000000000006
290,CU-ensemble,2,OK,-6.132853830282353,106.49293232441161,0.26350000000000007
291,CU-ensemble,2,OR,-9.099766890171074,125.5255775627267,0.49400000000000005
